Repository,Language,Stars,Forks
public-apis/public-apis,Python,337058,35619
jwasham/coding-interview-university,Unknown,315074,78492
yt-dlp/yt-dlp,Python,108553,8529
microsoft/markitdown,Python,51061,2486
Shubhamsaboo/awesome-llm-apps,Python,29052,3257
drawdb-io/drawdb,JavaScript,27217,1932
jumpserver/jumpserver,Python,26894,5447
Byaidu/PDFMathTranslate,Python,21068,1783
microsoft/BitNet,C++,15320,1085
nocobase/nocobase,TypeScript,14936,1643
allenai/olmocr,Python,11571,781
elie222/inbox-zero,TypeScript,6506,672
007revad/Synology_HDD_db,Shell,3507,225
